intercept,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID,open_11cluster
169.2854913,-17.1509796,0.004509415,0.00193285,-285.0642454,-26.63917503,0.067874838,0.039821121,-0.009322703,-2.691295352,-124.2806787,0.121126412,0.427162245,-0.059872809,0.168636674,-0.002522194,-8.19E-07,2.15E-07,3.37E-09,5.047598883,6.954235819,-8.79359293,-1.963701944,6.219728155,-23.62740193,-0.000822649,-21.55910467,13.09012613,1.48E-05,6.25E-05,10.27667589,-0.106934149,126.7328161,37.51084224,21339,4
169.2458947,-16.89004226,0.004464276,0.001934084,-285.2977043,-26.66308128,0.067869465,0.040432732,-0.008716024,-2.898572902,-123.4783798,0.120877004,0.424039037,-0.059298324,0.171331573,-0.002543004,-7.80E-07,2.23E-07,3.08E-09,4.76367539,6.904577914,-8.935782787,-2.02221926,6.188701697,-23.66890717,-0.000925903,-21.57121451,13.08491977,1.48E-05,9.81E-05,9.85770211,-0.107137669,126.734332,37.50968151,21340,4
169.1934844,-16.16331563,0.004000305,0.001898597,-285.572098,-26.71913934,0.068819668,0.039721573,-0.007997827,-3.556474386,-124.4174893,0.120370441,0.417483805,-0.068178333,0.194818419,-0.002870183,-7.52E-07,2.36E-07,1.46E-08,4.42189623,6.680998157,-8.802333292,-2.156244094,6.113997668,-23.74960986,-0.00081133,-21.59781129,13.08078867,1.42E-05,0.000115538,9.304578364,-0.107514346,126.7388323,37.5103088,21341,4
169.2313684,-15.14137978,0.003694268,0.001871189,-285.034095,-26.70270235,0.070592964,0.039184129,-0.007672613,-3.912177564,-125.0242675,0.120216986,0.414966209,-0.013623898,0.211784231,-0.003100131,-7.56E-07,2.39E-07,1.86E-08,4.367995395,6.890444191,-8.417916842,-2.090092614,6.093146819,-23.77312718,-0.000568291,-21.58352378,13.12818612,1.39E-05,0.000120904,9.201050704,-0.107565326,126.7424846,37.511824,21342,4
169.0807567,-16.21774024,0.004266467,0.00193209,-286.4452602,-26.78493587,0.067422387,0.040646064,-0.006510549,-3.328386579,-122.8518752,0.12000044,0.412628341,-0.059390811,0.191813183,-0.002760614,-7.01E-07,2.55E-07,2.45E-08,4.030045393,6.189302101,-9.42257025,-2.385926234,6.095618936,-23.79209757,-0.000968219,-21.64477454,13.00908307,1.43E-05,0.000157802,8.674914334,-0.107941504,126.7393891,37.50756649,21343,1
169.2040593,-16.39618433,0.004873455,0.001974225,-285.5307683,-26.68331652,0.066756821,0.041586717,-0.008857544,-2.44525101,-121.7798508,0.120745502,0.422063649,-0.043392706,0.15653594,-0.002358144,-7.34E-07,2.39E-07,-2.37E-09,4.550365519,6.691304181,-9.377650529,-2.209274277,6.175911414,-23.69233294,-0.001296275,-21.58544483,13.05572255,1.50E-05,0.000127086,9.382638532,-0.107308235,126.7338759,37.50772955,21344,1
169.0107402,-16.61418756,0.004623178,0.001972463,-286.9666741,-26.81153777,0.066214124,0.041894243,-0.005647433,-2.851143991,-121.0361972,0.119862465,0.410643506,-0.030209111,0.182865097,-0.002526567,-6.77E-07,2.69E-07,2.14E-08,3.72694419,5.95873589,-9.974811985,-2.634899296,6.114365301,-23.79500276,-0.001258788,-21.6725811,12.95084463,1.45E-05,0.00017734,7.966951961,-0.108192051,126.7382994,37.50524248,21345,1
168.9275079,-16.57848814,0.00425403,0.001946362,-287.5728244,-26.87451606,0.066038978,0.041293208,-0.005092448,-3.261644307,-121.6232576,0.119369435,0.405178264,-0.034392029,0.208970427,-0.002753571,-6.62E-07,2.74E-07,4.39E-08,3.412780426,5.769664964,-10.05551639,-2.760518927,6.081244425,-23.84428988,-0.001197014,-21.71407913,12.91103724,1.40E-05,0.000182868,7.583867333,-0.108645361,126.7413602,37.50501277,21346,1
168.7406311,-16.89089376,0.004750347,0.002002853,-288.7758617,-26.98556179,0.064882534,0.042061615,-0.00408663,-2.745928048,-119.0004294,0.118802405,0.395793577,0.019975278,0.227453029,-0.002599905,-6.26E-07,3.09E-07,1.07E-07,2.958359629,4.682603429,-11.27711956,-3.089867523,6.114772946,-23.86540987,-0.001511089,-21.80485196,12.74921685,1.37E-05,0.000194192,6.212865364,-0.109890148,126.7416414,37.50199786,21347,1
168.8563633,-16.77368933,0.00510142,0.002028625,-287.9490945,-26.90013965,0.065491504,0.043164601,-0.004638795,-2.167614261,-118.5457992,0.119378336,0.403058366,0.038416539,0.190654564,-0.00231341,-6.41E-07,3.01E-07,5.09E-08,3.095198162,5.170650311,-11.01323009,-3.003861167,6.117703874,-23.83136749,-0.001920094,-21.74620131,12.81450825,1.44E-05,0.000194405,6.497298469,-0.10913294,126.7380193,37.50225175,21348,1
