,대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
5984,인천광역시 부평구 부평동 605-43번지,,2.98,03000,제1종근린생활시설,19810113.0
5985,인천광역시 부평구 부평동 605-46번지,,374.26,03000,제1종근린생활시설,19901019.0
5986,인천광역시 부평구 부평동 605-4번지,,634.82,02000,공동주택,20000515.0
5987,인천광역시 부평구 부평동 605-6번지,,443.34,04000,제2종근린생활시설,20040302.0
5988,인천광역시 부평구 부평동 605-8번지,,945.12,03000,제1종근린생활시설,19811119.0
5989,인천광역시 부평구 부평동 605-9번지,,276.5,04000,제2종근린생활시설,20031222.0
5990,인천광역시 부평구 부평동 605번지,수지빌딩,714.92,02000,공동주택,20161229.0
5991,인천광역시 부평구 부평동 606-16번지,,494.76,03000,제1종근린생활시설,19840331.0
5992,인천광역시 부평구 부평동 606-17번지,,489.7,01000,단독주택,19840125.0
5993,인천광역시 부평구 부평동 606-19번지,,814.2,03000,제1종근린생활시설,19900806.0
5994,인천광역시 부평구 부평동 606-22번지,,460.7,03000,제1종근린생활시설,19940613.0
5995,인천광역시 부평구 부평동 606-5번지,,257.52,01000,단독주택,19781201.0
5996,인천광역시 부평구 부평동 606-5번지,,177.16,01000,단독주택,19791229.0
5997,인천광역시 부평구 부평동 606-9번지,,445.09,03000,제1종근린생활시설,19801126.0
5998,인천광역시 부평구 부평동 607번지,,57.59,01000,단독주택,
5999,인천광역시 부평구 부평동 609-11번지,,246.24,01000,단독주택,19890324.0
6000,인천광역시 부평구 부평동 609-15번지,,239.13,01000,단독주택,19921002.0
6001,인천광역시 부평구 부평동 609-16번지,화랑빌리지,600.3,02000,공동주택,19920722.0
6002,인천광역시 부평구 부평동 609-17번지,,225.53,02000,공동주택,19820317.0
6003,인천광역시 부평구 부평동 609-17번지,,3.24,02000,공동주택,19820317.0
6004,인천광역시 부평구 부평동 609-1번지,부평더써밋,2806.15,14000,업무시설,20200723.0
6005,인천광역시 부평구 부평동 609-22번지,서보한마음,4989.97,14000,업무시설,20141002.0
6006,인천광역시 부평구 부평동 609-23번지,,1062.19,03000,제1종근린생활시설,19791126.0
6007,인천광역시 부평구 부평동 609-25번지,,929.23,03000,제1종근린생활시설,19800904.0
6010,인천광역시 부평구 부평동 609-27번지,신명베르빌,431.59,02000,공동주택,20130531.0
6011,인천광역시 부평구 부평동 609-28번지,,128.7,01000,단독주택,19840627.0
6012,인천광역시 부평구 부평동 609-29번지,,141.66,01000,단독주택,19840627.0
6013,인천광역시 부평구 부평동 609-2번지,,2414.21,14000,업무시설,20120817.0
6014,인천광역시 부평구 부평동 609-30번지,,494.46,04000,제2종근린생활시설,19940512.0
6015,인천광역시 부평구 부평동 609-32번지,,143.34,01000,단독주택,19790705.0
6016,인천광역시 부평구 부평동 609-32번지,,1.98,01000,단독주택,19790705.0
6017,인천광역시 부평구 부평동 609-33번지,,520.24,04000,제2종근린생활시설,19940517.0
6018,인천광역시 부평구 부평동 609-34번지,,493.48,04000,제2종근린생활시설,19940406.0
6019,인천광역시 부평구 부평동 609-3번지,M타워 B동,2686.45,14000,업무시설,20121218.0
6021,인천광역시 부평구 부평동 609-6번지,,0.99,03000,제1종근린생활시설,19780725.0
6022,인천광역시 부평구 부평동 609-6번지,,166.9,01000,단독주택,19780725.0
6023,인천광역시 부평구 부평동 609-7번지,유일세라믹아파트,34.1,02000,공동주택,19921215.0
6024,인천광역시 부평구 부평동 609-7번지,유일세라믹아파트,6452.18,02000,공동주택,19921215.0
6025,인천광역시 부평구 부평동 609번지,,146.88,03000,제1종근린생활시설,19840627.0
6026,인천광역시 부평구 부평동 61-11번지,,314.8,01000,단독주택,19801129.0
6027,인천광역시 부평구 부평동 61-14번지,,49.5,01000,단독주택,20090122.0
6028,인천광역시 부평구 부평동 61-20번지,주연홈타운,244.17,02000,공동주택,20010915.0
6029,인천광역시 부평구 부평동 61-25번지,,4.5,01000,단독주택,19790320.0
6030,인천광역시 부평구 부평동 61-25번지,,78.15,01000,단독주택,19790320.0
6031,인천광역시 부평구 부평동 61-29번지,,75.49,01000,단독주택,19850725.0
6032,인천광역시 부평구 부평동 61-29번지,,6.46,01000,단독주택,19850725.0
6034,인천광역시 부평구 부평동 61-30번지,,61.3,01000,단독주택,19850722.0
6035,인천광역시 부평구 부평동 61-34번지,,47.6,01000,단독주택,19690111.0
6036,인천광역시 부평구 부평동 61-36번지,,3.34,01000,단독주택,19750827.0
6037,인천광역시 부평구 부평동 61-36번지,,56.89,01000,단독주택,19750827.0
6038,인천광역시 부평구 부평동 61-36번지,,58.51,01000,단독주택,19681210.0
6039,인천광역시 부평구 부평동 61-39번지,,66.05,01000,단독주택,19770726.0
6040,인천광역시 부평구 부평동 61-42번지,,66.05,01000,단독주택,19770914.0
6041,인천광역시 부평구 부평동 61-43번지,,66.05,01000,단독주택,19770107.0
6042,인천광역시 부평구 부평동 61-44번지,,66.05,01000,단독주택,19770804.0
6043,인천광역시 부평구 부평동 61-67번지,,96.8,01000,단독주택,19700111.0
6044,인천광역시 부평구 부평동 61-70번지,,49.59,01000,단독주택,19721107.0
6045,인천광역시 부평구 부평동 61-7번지,미올하버뷰,2530.77,14000,업무시설,20160829.0
6046,인천광역시 부평구 부평동 61-9번지,로뎀레뷰,4997.75,14000,업무시설,20141216.0
6047,인천광역시 부평구 부평동 610-17번지,해마루,8119.81,02000,공동주택,20091110.0
6048,인천광역시 부평구 부평동 610-1번지,하이빌맨션(B동),598.17,02000,공동주택,20030102.0
6049,인천광역시 부평구 부평동 610-21번지,리아체,1164.14,02000,공동주택,20170825.0
6050,인천광역시 부평구 부평동 610-24번지,광성탑스빌,406.82,02000,공동주택,20011110.0
6051,인천광역시 부평구 부평동 610-25번지,부연아트빌,645.84,02000,공동주택,20011206.0
6052,인천광역시 부평구 부평동 610-26번지,하이빌맨션(A동),598.17,02000,공동주택,20030102.0
6053,인천광역시 부평구 부평동 610-4번지,,226.76,03000,제1종근린생활시설,19921229.0
6054,인천광역시 부평구 부평동 610-5번지,,19.44,04000,제2종근린생활시설,19830926.0
6055,인천광역시 부평구 부평동 610-5번지,,489.6,03000,제1종근린생활시설,19930112.0
6056,인천광역시 부평구 부평동 610-5번지,,42.5,03000,제1종근린생활시설,19930112.0
6057,인천광역시 부평구 부평동 610-8번지,부평네파,853.4,03000,제1종근린생활시설,20130417.0
6058,인천광역시 부평구 부평동 610번지,,457.44,04000,제2종근린생활시설,19961121.0
6059,인천광역시 부평구 부평동 611-10번지,유진빌딩,1679.37,09000,의료시설,19890106.0
6060,인천광역시 부평구 부평동 611-12번지,,255.06,03000,제1종근린생활시설,19890124.0
6061,인천광역시 부평구 부평동 611-13번지,부평근린생활시설,91.2,04000,제2종근린생활시설,20170427.0
6062,인천광역시 부평구 부평동 611-14번지,,595.37,03000,제1종근린생활시설,20171120.0
6063,인천광역시 부평구 부평동 611-15번지,,275.28,04000,제2종근린생활시설,20100721.0
6064,인천광역시 부평구 부평동 611-17번지,,265.8,04000,제2종근린생활시설,19921229.0
6065,인천광역시 부평구 부평동 611-18번지,현대빌라트11차A동,485.1,02000,공동주택,20021011.0
6066,인천광역시 부평구 부평동 611-3번지,동원아트빌,599.28,02000,공동주택,20040617.0
6067,인천광역시 부평구 부평동 611-4번지,현대빌라트12차 C동,619.55,02000,공동주택,20021220.0
6068,인천광역시 부평구 부평동 611-5번지,,491.82,02000,공동주택,20020823.0
6069,인천광역시 부평구 부평동 611-6번지,그랑주택,659.93,02000,공동주택,20210324.0
6070,인천광역시 부평구 부평동 611번지,T-TECH,418.57,04000,제2종근린생활시설,20050822.0
6071,인천광역시 부평구 부평동 612-11번지,,49.52,01000,단독주택,19760909.0
6072,인천광역시 부평구 부평동 612-11번지,,0.99,01000,단독주택,19760909.0
6073,인천광역시 부평구 부평동 612-11번지,,81.32,01000,단독주택,19760909.0
6074,인천광역시 부평구 부평동 612-13번지,,130.02,01000,단독주택,19771007.0
6075,인천광역시 부평구 부평동 612-13번지,,2.98,01000,단독주택,19771007.0
6076,인천광역시 부평구 부평동 612-15번지,,302.22,01000,단독주택,19890217.0
6077,인천광역시 부평구 부평동 612-16번지,,386.62,03000,제1종근린생활시설,19900903.0
6078,인천광역시 부평구 부평동 612-18번지,,14.08,01000,단독주택,19810330.0
6079,인천광역시 부평구 부평동 612-18번지,,252.56,01000,단독주택,19810330.0
6080,인천광역시 부평구 부평동 612-19번지,삼미빌라,634.8,02000,공동주택,20010914.0
6081,인천광역시 부평구 부평동 612-1번지,삼미빌라,258.08,02000,공동주택,20011022.0
6082,인천광역시 부평구 부평동 612-20번지,삼미빌라,634.8,02000,공동주택,20010914.0
6083,인천광역시 부평구 부평동 612-22번지,,43.31,01000,단독주택,19760722.0
6084,인천광역시 부평구 부평동 612-2번지,,115.52,03000,제1종근린생활시설,20000802.0
6085,인천광역시 부평구 부평동 612-35번지,,13.75,01000,단독주택,19751229.0
6086,인천광역시 부평구 부평동 612-3번지,,172.53,04000,제2종근린생활시설,19951031.0
6087,인천광역시 부평구 부평동 612-4번지,지엔에스드림빌,657.94,02000,공동주택,20090429.0
6089,인천광역시 부평구 부평동 612-6번지,삼미빌라,651.0,02000,공동주택,20011008.0
6090,인천광역시 부평구 부평동 612-7번지,애지앙아파트,7313.04,02000,공동주택,20060619.0
6091,인천광역시 부평구 부평동 612-8번지,,1.42,01000,단독주택,19810718.0
