대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
인천광역시 부평구 부평동 204-14번지,,452.91,01000,단독주택,19801222.0
인천광역시 부평구 부평동 204-1번지,퍼스트프라임,4985.4,03000,제1종근린생활시설,20210203.0
인천광역시 부평구 부평동 204-20번지,아이홈아파트,8776.71,02000,공동주택,20160201.0
인천광역시 부평구 부평동 204-21번지,,508.32,03000,제1종근린생활시설,20010528.0
인천광역시 부평구 부평동 204-23번지,,136.9,03000,제1종근린생활시설,19870812.0
인천광역시 부평구 부평동 204-27번지,,792.57,04000,제2종근린생활시설,19881111.0
인천광역시 부평구 부평동 204-2번지,,1.0,01000,단독주택,19900928.0
인천광역시 부평구 부평동 204-2번지,,953.23,04000,제2종근린생활시설,19900928.0
인천광역시 부평구 부평동 204-39번지,,288.823,Z3000,근린생활시설,19810616.0
인천광역시 부평구 부평동 204-42번지,,88.2,04000,제2종근린생활시설,19820823.0
인천광역시 부평구 부평동 204-43번지,,197.44,03000,제1종근린생활시설,19931022.0
인천광역시 부평구 부평동 204-45번지,무한레뷰,7365.8,14000,업무시설,20160303.0
인천광역시 부평구 부평동 204-4번지,,587.25,04000,제2종근린생활시설,19781230.0
인천광역시 부평구 부평동 204-61번지,,1871.99,04000,제2종근린생활시설,19961224.0
인천광역시 부평구 부평동 204-65번지,,82.64,04000,제2종근린생활시설,
인천광역시 부평구 부평동 204-65번지,,150.72,03000,제1종근린생활시설,19731221.0
인천광역시 부평구 부평동 204-6번지,,399.68,04000,제2종근린생활시설,20030625.0
인천광역시 부평구 부평동 204-72번지,,38.01,01000,단독주택,19590701.0
인천광역시 부평구 부평동 204-78번지,,256.68,01000,단독주택,19750630.0
인천광역시 부평구 부평동 204-79번지,,208.31,03000,제1종근린생활시설,19841206.0
인천광역시 부평구 부평동 204-80번지,,188.49,01000,단독주택,19760819.0
인천광역시 부평구 부평동 204-81번지,,208.26,01000,단독주택,19760625.0
인천광역시 부평구 부평동 204-83번지,,279.08,03000,제1종근린생활시설,19700803.0
인천광역시 부평구 부평동 204-9번지,투엠캐슬,6484.49,14000,업무시설,20160404.0
인천광역시 부평구 부평동 204번지,,75.38,01000,단독주택,
인천광역시 부평구 부평동 204번지,,66.94,01000,단독주택,
인천광역시 부평구 부평동 205-1번지,중앙치안센터,178.51,03000,제1종근린생활시설,19911016.0
인천광역시 부평구 부평동 205-2번지,엡스201,35325.54,07000,판매시설,20000814.0
인천광역시 부평구 부평동 205-8번지,,133.88,01000,단독주택,
인천광역시 부평구 부평동 206-14번지,,356.98,03000,제1종근린생활시설,19680704.0
인천광역시 부평구 부평동 206-15번지,,183.08,03000,제1종근린생활시설,20050915.0
인천광역시 부평구 부평동 206-17번지,,225.51,01000,단독주택,19750729.0
인천광역시 부평구 부평동 206-18번지,,531.96,03000,제1종근린생활시설,19781201.0
인천광역시 부평구 부평동 206-19번지,,1628.96,03000,제1종근린생활시설,19841002.0
인천광역시 부평구 부평동 206-1번지,라이브 빌딩,1377.33,03000,제1종근린생활시설,19820118.0
인천광역시 부평구 부평동 206-20번지,,801.26,01000,단독주택,19781229.0
인천광역시 부평구 부평동 206-21번지,,2083.41,14000,업무시설,19871229.0
인천광역시 부평구 부평동 206-24번지,,260.76,01000,단독주택,19890811.0
인천광역시 부평구 부평동 206-25번지,,156.16,04000,제2종근린생활시설,19840716.0
인천광역시 부평구 부평동 206번지,,58.51,01000,단독주택,
인천광역시 부평구 부평동 206번지,,45.29,01000,단독주택,
인천광역시 부평구 부평동 206번지,,57.69,01000,단독주택,
인천광역시 부평구 부평동 206번지,,63.14,01000,단독주택,
인천광역시 부평구 부평동 207-21번지,,212.74,01000,단독주택,19961212.0
인천광역시 부평구 부평동 207-26번지,,198.0,01000,단독주택,19930803.0
인천광역시 부평구 부평동 207-27번지,,173.31,03000,제1종근린생활시설,19930803.0
인천광역시 부평구 부평동 207-28번지,,40.66,03000,제1종근린생활시설,
인천광역시 부평구 부평동 207-33번지,,407.04,04000,제2종근린생활시설,19841017.0
인천광역시 부평구 부평동 207-35번지,,491.31,03000,제1종근린생활시설,19841108.0
인천광역시 부평구 부평동 207-38번지,남송리치빌,338.06,04000,제2종근린생활시설,20100105.0
인천광역시 부평구 부평동 207-3번지,,756.58,03000,제1종근린생활시설,19930910.0
인천광역시 부평구 부평동 207-40번지,,39.33,03000,제1종근린생활시설,
인천광역시 부평구 부평동 207-44번지,LG노블리움,843.02,02000,공동주택,20130410.0
인천광역시 부평구 부평동 207-46번지,,38.66,01000,단독주택,
인천광역시 부평구 부평동 207-49번지,강춘길씨근린주택,162.29,01000,단독주택,20021122.0
인천광역시 부평구 부평동 207-4번지,,415.28,01000,단독주택,19851113.0
인천광역시 부평구 부평동 207-51번지,정연복씨근린주택,115.9,01000,단독주택,20021122.0
인천광역시 부평구 부평동 207-52번지,강남철물,157.12,01000,단독주택,20021122.0
인천광역시 부평구 부평동 207-53번지,,198.805,03000,제1종근린생활시설,19861203.0
인천광역시 부평구 부평동 207-54번지,,192.465,01000,단독주택,19861203.0
인천광역시 부평구 부평동 207-55번지,,376.36,04000,제2종근린생활시설,19831213.0
인천광역시 부평구 부평동 207-58번지,,80.9,04000,제2종근린생활시설,20010504.0
인천광역시 부평구 부평동 207-61번지,,109.76,Z3000,근린생활시설,19831220.0
인천광역시 부평구 부평동 207-63번지,플러스캐슬,406.86,02000,공동주택,20100622.0
인천광역시 부평구 부평동 207-67번지,,61.0,04000,제2종근린생활시설,20010517.0
인천광역시 부평구 부평동 207-74번지,,79.71,04000,제2종근린생활시설,19830624.0
인천광역시 부평구 부평동 207-76번지,,128.08,01000,단독주택,19850308.0
인천광역시 부평구 부평동 208-11번지,삼오빌라,462.58,02000,공동주택,20020321.0
인천광역시 부평구 부평동 208-12번지,삼오빌라,462.58,02000,공동주택,20020321.0
인천광역시 부평구 부평동 208-1번지,,132.13,01000,단독주택,19741231.0
인천광역시 부평구 부평동 208-1번지,삼오빌라,514.64,02000,공동주택,20010426.0
인천광역시 부평구 부평동 208-2번지,,51.23,01000,단독주택,19701010.0
인천광역시 부평구 부평동 208-2번지,삼오빌라,651.6,02000,공동주택,20010530.0
인천광역시 부평구 부평동 208-2번지,,67.77,01000,단독주택,19701013.0
인천광역시 부평구 부평동 208-3번지,,420.35,01000,단독주택,19960720.0
