연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자
70,현대5차,인천광역시 부평구 산곡4동 124-1,인천광역시 부평구 안남로 260,19,9,1161,1993-11-20,2021-09-28
71,경남4차,인천광역시 부평구 산곡4동 274-5,인천광역시 부평구 안남로206번길 18,20,11,776,1994-05-25,2021-09-28
72,영남,인천광역시 부평구 청천1동 48-347,인천광역시 부평구 청중로 16,5,2,70,1986-05-17,2021-09-28
73,인성,인천광역시 부평구 청천1동 산15-1,인천광역시 부평구 청중로 15-6,5,2,80,1985-01-29,2021-09-28
74,청천,인천광역시 부평구 청천1동 16-8외4,인천광역시 부평구 청중로51번길 3,5,5,130,1978-11-24,2021-09-28
75,인향,인천광역시 부평구 청천1동 377-9,인천광역시 부평구 청안로 8,19,2,266,1994-01-10,2021-09-28
76,우림필유,인천광역시 부평구 청천1동 192외 4,인천광역시 부평구 세월천로25번길 43,24,2,209,2005-09-27,2021-09-28
77,미도6차,인천광역시 부평구 청천2동 236-5,인천광역시 부평구 길주로494번길 50,6,3,222,1985-02-02,2021-09-28
78,대진,인천광역시 부평구 청천2동 236,인천광역시 부평구 원길로 12,5,6,340,1985-05-25,2021-09-28
79,삼익,인천광역시 부평구 청천2동 300,인천광역시 부평구 부평대로167번길 43,15,2,375,1986-11-20,2021-09-28
80,쌍용,인천광역시 부평구 청천2동 259,인천광역시 부평구 길주로494번길 12,15,4,510,1990-09-22,2021-09-28
81,미도7차,인천광역시 부평구 청천2동 259-5,인천광역시 부평구 원길로24번길 5,6,4,384,1989-02-27,2021-09-28
82,현광,인천광역시 부평구 청천2동 300-1,인천광역시 부평구 부평대로167번길 41,6,1,48,1994-05-26,2021-09-28
83,무지개,인천광역시 부평구 청천2동 390-5,인천광역시 부평구 부평북로 123,20,2,220,1993-03-26,2021-09-28
84,동양,인천광역시 부평구 청천2동 397,인천광역시 부평구 안남로417번길 35,5,6,200,1982-12-16,2021-09-28
85,영진,인천광역시 부평구 청천2동 5-5,인천광역시 부평구 청중로 81,16,1,196,1995-07-07,2021-09-28
86,광명,인천광역시 부평구 청천2동 399-6,인천광역시 부평구 평천로153번길 13,19,4,418,1995-10-24,2021-09-28
87,금호타운,인천광역시 부평구 청천2동 200,인천광역시 부평구 안남로 272,25,24,2539,1998-02-26,2021-09-28
88,청천푸르지오,인천광역시 부평구 청천2동 176,인천광역시 부평구 세월천로 16,25,23,2257,1998-06-20,2021-09-28
89,미가로,인천광역시 부평구 청천2동 199-24,인천광역시 부평구 길주로 491,15,2,170,2006-11-15,2021-09-28
90,정광,인천광역시 부평구 갈산1동 171-5,인천광역시 부평구 평천로306번길 27,6,5,311,1990-04-07,2021-09-28
91,태화,인천광역시 부평구 갈산1동 416,인천광역시 부평구 부평북로 313,19,5,410,1994-09-08,2021-09-28
92,백조,인천광역시 부평구 갈산1동 181-11,인천광역시 부평구 부평대로 268,5,3,85,1986-11-25,2021-09-28
93,갈산,인천광역시 부평구 갈산1동 183-1,인천광역시 부평구 굴포로5번길 28,5,4,90,1986-12-24,2021-09-28
94,한국,인천광역시 부평구 갈산1동 179-1,인천광역시 부평구 부평대로278번길 42,21,5,520,1998-11-18,2021-09-28
95,이안(대우),인천광역시 부평구 갈산1동 159,인천광역시 부평구 평천로305번길 15,21,5,414,2001-11-23,2021-09-28
96,대성유니드,인천광역시 부평구 갈산1동 454,인천광역시 부평구 새갈로 57,24,5,247,2007-04-10,2021-09-28
97,태화,인천광역시 부평구 갈산2동 363,인천광역시 부평구 갈월서로 46,13,6,390,1992-06-20,2021-09-28
98,아주,인천광역시 부평구 갈산2동 374,인천광역시 부평구 갈월서로 26,17,4,340,1992-09-24,2021-09-28
99,하나,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 45,18,5,526,1992-11-05,2021-09-28
100,동남,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 27,13,2,278,1992-09-16,2021-09-28
101,두산,인천광역시 부평구 갈산2동 368,인천광역시 부평구 갈월동로 45,15,7,574,1992-11-29,2021-09-28
102,한국,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 40,18,2,280,1993-05-22,2021-09-28
103,동아,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 42,18,2,280,1993-06-02,2021-09-28
