BAS_ID,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균영업기간,평균폐업기간,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 비율,근린생활시설 비율,단독주택 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,(주거인구+직장인구) / 유동인구,주거인구/직장인구,10_30 / 40_60,점포밀도
21375,0.226722,184.5446169,1984.968195,0.090323875,1.019499578,15.75549305,604.087,0.0,,,0.2968457053664755,0.0723148945934601,0.0,0.0,0.0,0.0,0,,-18834.97407,-175872.6897,,0.654306367,0.345693633,0.0,0.0,0.0,4.410687979110982,2.148349516,1.78287355,34800.0,0.024658079,0.0,0.530430885,2.0
21376,0.325932,698.9412992,7089.46091,0.111902024,1.075192421,23.25257083,212.2773913,-242.1853,117.18090933121839,89.94621879570455,1.5214287988238422,0.0752434809712043,297.5806452,75.6,17.7,1.5,5512,3550662.324,3640376.391,-1038362.251,0.283297568,0.259644555,0.457057877,1.9721671868493595,2.570913584902299,2.495795876372831,1187.3642354847022,2.071680728,1.402655384,62202.40385,0.666302022,17.95254755,0.553189879,60.5297157622739
21377,0.371913,583.6379787,5579.869428,0.113651085,1.066669514,23.9607695,223.4213333,83.34542857,126.06302279656344,82.20776742245901,0.9200419491179594,0.1149167784442201,332.2857143,41.8,37.9,0.3,4918,1043436.032,3802635.851,-10316977.14,0.236824932,0.237304972,0.525870096,2.259731433922433,2.547512003372493,2.4486501672835472,1172.3171817064745,1.940779473,1.377351197,99982.5,0.458735327,10.98891932,0.564730111,98.78899082568807
21378,0.18662,472.7957775,2846.175783,0.147124768,0.983826246,26.29577257,114.6854,-32.2588,141.13836623667567,167.88141733592857,0.4331489576464543,0.0612010610551265,341.3272727,87.2,9.3,2.8,2940,-4093998.721,4005783.586,1414105.741,0.485421763,0.242057172,0.272521064,1.907982588238816,2.553476465895649,2.1137989184733432,868.0741613974922,1.90210091,1.515683711,174555.4688,0.706754217,17.024825,0.608456178,47.129629629629626
21379,0.074386,417.2263309,3624.48066,0.123938211,1.115032358,54.28982972,113.8025385,228.3334,127.2014072844,83.98227133315788,0.2250646987129027,0.0664763139408974,274.9909091,26.4,22.1,3.1,0,-2036170.752,-403582.35,331120.8345,0.50631205,0.245289958,0.248397992,1.7590772816817242,2.284884644021033,2.3453748105080274,2177.829161401339,2.176247327,1.736238513,314045.4268,0.140998773,3.192187695,0.688326923,96.66666666666669
21380,0.115359,413.8575399,4096.432212,0.107870987,1.115236208,31.26118398,122.275375,-231.667,132.93774993087098,58.49908742952941,1.4529138646375557,0.0748223561197547,342.5449102,53.2,22.3,23.8,335,-2522696.138,80164.76897,-149915.5586,0.340811462,0.08575965,0.573428888,1.7835644116058984,1.9792751367963144,2.391443466692147,1040.2309312667412,2.035282442,1.535863654,55224.4382,0.534818775,7.799334396,0.539638931,43.11666666666667
21381,0.169609,264.2494931,2461.539697,0.109823779,1.016917878,24.26450178,154.5812857,861.19,183.0290834,,1.1353148045183603,0.038787098093078,364.0,98.2,1.8,0.0,1990,-91721.24138,1203.793103,-228961.2414,0.104703274,0.106039437,0.789257289,0.6365141682948128,1.9792045174343245,1.7480673485460891,147.39783855809537,1.958423926,1.463107789,258610.0,0.697184747,68.38531522,0.600797896,16.92
21382,0.121291,576.5084802,6158.950224,0.105888673,1.157194731,36.08972649,129.8651795,168.75,134.1096020204386,84.04279348710526,1.1820357352295785,0.0818187118956509,332.9005525,34.3,24.4,34.8,95,-2711333.269,-1753417.27,-13853518.36,0.146000791,0.09905611,0.754943099,2.1075934768400706,2.4833281806257155,2.5061739265827425,2003.446257348031,1.979810637,1.693891466,60073.55372,0.452780283,4.94506852,0.539116867,61.75308641975309
21383,0.107089,352.7935222,3721.911895,0.094227829,1.017669746,44.05917862,123.2247143,0.0,119.77482670631429,54.690240047066666,1.0411134989230313,0.0510298334835996,386.450495,26.3,39.8,33.8,0,269963.9138,564242.1552,-2767222.802,0.188714592,0.020278089,0.791007319,1.6442107102094017,2.056780764632065,2.1942489678721566,775.0562616141714,2.018723225,1.801157627,55292.59259,0.207067645,4.694365927,0.538013126,47.57831325301205
21384,0.156212,506.534256,2324.372895,0.138916003,0.943844744,28.84954068,150.6446364,512.469,123.16950202792106,40.65671704797561,0.844675252219562,0.0334565773541748,373.5,46.5,2.8,0.1,2204,753087.9276,7288775.159,-11456605.44,0.033304857,0.162276014,0.804419129,1.8875892793369464,2.350327259728866,1.6975223117763425,723.3759250249661,2.030621695,1.610569499,90858.33333,0.197520331,13.67105723,0.575124725,69.41592920353982
21385,0.080617,353.7567705,920.7253345,0.144134714,0.862819586,27.12966369,358.5136667,941.328,144.77778463675,141.96595413333333,0.6794942630963571,0.0771243329974415,334.5,100.0,0.0,0.0,1200,669579.1724,160629.7586,-98277.92138,0.213170519,0.126413623,0.660415858,1.5607104090414063,2.044931174849591,2.174308236115124,508.5775952962775,2.110115492,1.580049635,54466.66667,0.275795679,24.1302963,0.593099504,22.60975609756097
21386,0.523667,354.671033,2845.715852,0.110817519,0.942392546,13.95221145,186.1294375,0.0,132.30661821500001,,0.5750954410667704,0.0844154567332094,0.0,0.0,0.0,0.0,0,-633171.8103,,,,,,0.6931471805599453,0.0,0.0,7.638441986987914,1.916057543,1.761222402,82416.66667,0.0,0.0,0.543861283,10.75
21387,0.276287,298.5865636,2446.074636,0.120702417,0.98965824,16.57982893,136.0185294,3103.512,123.20403938154054,65.16127413055555,0.4520855471828647,0.1110516258053485,328.4166667,96.3,1.4,0.2,4605,281837.869,-2387175.988,-21782668.41,0.016882767,0.074156123,0.90896111,1.9365025652004373,2.819425598346365,2.060904478320149,951.9087036306448,1.991735322,1.611414003,-31587.5,0.753779375,17.57959537,0.612028194,161.4828897338403
21388,0.105832,494.1878865,5023.425776,0.117774386,1.148843666,40.7799274,113.5211176,-775.0,126.84314405365727,91.77579568086841,0.235545221938069,0.0794739100331018,304.1369863,5.4,41.5,2.8,0,14042682.58,21305123.65,104351.1445,0.359862388,0.452396616,0.187740996,2.039018497317881,2.5632194471619067,2.311362447424837,4034.696500113388,2.298501101,2.113011615,398724.7475,0.191303257,0.389595941,0.693112839,158.85011709601875
21389,0.097301,467.0476652,4546.815294,0.109911409,1.053325655,38.02233806,114.1352813,-115.0,133.31183785059878,84.36172626470731,0.2288513210459317,0.0949420460976352,309.2282609,6.9,40.2,3.1,0,7942198.209,13636227.98,2808511.296,0.350177556,0.487895512,0.161926932,2.0706677766904127,2.468797076223236,2.117629646383151,8499.398772880033,2.16409223,1.858035033,254920.2479,0.188681289,0.735715667,0.924828175,477.4256348246675
21390,0.054037,238.8214005,2413.287271,0.113115964,1.123811339,59.58833426,206.562,-381.25,143.0619930554,119.16466456545454,0.1943779256377016,0.0372387827627353,270.9047619,14.0,30.4,0.2,0,679576.1724,-3972.737931,-2448125.538,0.291069168,0.487321803,0.221609028,1.7203819704918693,2.7082873721389475,2.560446650892037,3368.062623757796,2.334143726,2.091222912,352434.4262,0.106838557,0.376894641,0.689667302,147.66483516483515
21391,0.127594,578.8484752,6551.802391,0.109263162,1.159438109,39.37947466,144.5999375,246.194,133.49152746644154,100.46089148031193,0.4328289867437597,0.0712353199522025,357.1033058,30.9,26.5,4.4,142,-2375601.078,-1852736.638,11850687.89,0.154228894,0.144940702,0.700830404,1.868132519822932,2.421826544649194,2.0225643514294616,5321.566844835964,2.043614051,1.688874967,213891.5789,0.303959895,1.974225902,0.53759333,181.81296023564065
21392,0.071677,341.0218024,3727.806255,0.108884573,1.131604307,55.11636896,174.7886875,389.7587895,123.48524131590291,95.15279890165385,0.6386019607475908,0.0501063358947261,250.4883721,50.4,14.8,2.9,0,5135242.857,-910838.431,46399.82759,0.389596118,0.409292123,0.201111758,1.7367077637376656,2.385318452521328,2.4879320970775494,2790.29535276309,2.070061811,1.434419986,293078.7671,0.347458875,5.678983671,0.579344357,101.175
