대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 504-1번지,,168.09,03000,제1종근린생활시설,1982-06-02,442
인천광역시 부평구 부평동 504-1번지,,153.29,01000,단독주택,1977-12-13,495
인천광역시 부평구 부평동 504-3번지,,71.9,01000,단독주택,1975-09-11,522
인천광역시 부평구 부평동 504-3번지,,687.34,02000,공동주택,2002-08-22,204
인천광역시 부평구 부평동 504-4번지,현대홈타운,4705.93,02000,공동주택,2014-04-21,67
인천광역시 부평구 부평동 505-10번지,늘푸른아파트,2207.55,02000,공동주택,2008-01-24,140
인천광역시 부평구 부평동 505-11번지,흥부고시텔,801.59,04000,제2종근린생활시설,2011-12-21,94
인천광역시 부평구 부평동 505-1번지,로뎀레뷰,4916.718,02000,공동주택,2013-05-08,78
인천광역시 부평구 부평동 505-2번지,헤리움,7819.44,02000,공동주택,2013-07-17,76
인천광역시 부평구 부평동 505-4번지,삼성캐슬아파트,2420.28,02000,공동주택,2013-03-19,79
인천광역시 부평구 부평동 505-5번지,,456.12,04000,제2종근린생활시설,1985-09-02,404
인천광역시 부평구 부평동 505-7번지,,910.08,04000,제2종근린생활시설,1984-12-31,412
인천광역시 부평구 부평동 505-8번지,GM펠리스,1183.11,02000,공동주택,2015-03-02,56
인천광역시 부평구 부평동 505-9번지,,756.55,02000,공동주택,2002-10-01,203
