BAS_ID,open_15cluster,close_15cluster,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도
21342,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21343,3,0.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mL_m,L_pL_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21344,8,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pL_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21345,3,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mL_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21346,3,0.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mL_m,L_pL_p,H_mL_m,L_mH_m,H_mH_m,H_pL_p
21347,3,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mL_m,L_mH_m,H_mH_m,H_pL_p
21348,3,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21349,5,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21350,5,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mL_m,L_mH_m,H_mH_m,H_pL_p
21351,3,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pL_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21352,3,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21353,5,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21354,8,5.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21355,8,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21356,3,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pL_p,H_mH_m,H_mH_m,H_mH_m,H_pL_p
21357,0,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21358,0,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21359,0,1.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21360,7,0.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,L_pL_p,H_pL_p,H_mL_p,H_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
