address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-502번지,37.5049489,126.7304894,단독주택,222.51
인천광역시 부평구 부평동 10-503번지,37.5049531,126.730367,단독주택,226.305
인천광역시 부평구 부평동 10-504번지,37.5048491,126.7303607,단독주택,68.77
인천광역시 부평구 부평동 10-505번지,37.5048445,126.7304826,단독주택,70.81
인천광역시 부평구 부평동 10-506번지,37.5047404,126.7304759,단독주택,69.12
인천광역시 부평구 부평동 10-507번지,37.5047446,126.7303547,단독주택,68.77
인천광역시 부평구 부평동 10-508번지,37.5046397,126.7303485,단독주택,68.77
인천광역시 부평구 부평동 10-509번지,37.5046357,126.7304691,단독주택,69.12
인천광역시 부평구 부평동 10-510번지,37.5045322,126.730462,단독주택,69.12
인천광역시 부평구 부평동 10-511번지,37.5045352,126.7303417,단독주택,235.4
인천광역시 부평구 부평동 10-512번지,37.5044254,126.7303362,제2종근린생활시설,156.36
인천광역시 부평구 부평동 10-513번지,37.5044218,126.7304551,제2종근린생활시설,72.9
인천광역시 부평구 부평동 10-514번지,37.5050344,126.7307801,제1종근린생활시설,494.7
인천광역시 부평구 부평동 10-515번지,37.5049317,126.7307739,제1종근린생활시설,494.12
인천광역시 부평구 부평동 10-516번지,37.5049363,126.730655,단독주택,64.57
인천광역시 부평구 부평동 10-517번지,37.5048319,126.7306488,단독주택,68.77
인천광역시 부평구 부평동 10-518번지,37.5048278,126.7307679,제1종근린생활시설,494.48
인천광역시 부평구 부평동 10-519번지,37.5047226,126.7307614,제1종근린생활시설,493.4639
인천광역시 부평구 부평동 10-520번지,37.5047276,126.7306422,단독주택,71.3
인천광역시 부평구 부평동 10-521번지,37.5046224,126.7306354,단독주택,71.3
인천광역시 부평구 부평동 10-522번지,37.5046179,126.7307547,단독주택,493.4578
인천광역시 부평구 부평동 10-523번지,37.504514,126.7307484,제1종근린생활시설,1496.7
인천광역시 부평구 부평동 10-525번지,37.5044095,126.7306219,제2종근린생활시설,378.59
인천광역시 부평구 부평동 10-527번지,37.5063565,126.7299337,단독주택,222.46
인천광역시 부평구 부평동 10-528번지,37.5062332,126.7299247,단독주택,199.02
인천광역시 부평구 부평동 10-530번지,37.5061281,126.7298152,단독주택,198.48
인천광역시 부평구 부평동 10-531번지,37.506097,126.7299159,단독주택,224.04
인천광역시 부평구 부평동 10-532번지,37.5059975,126.7299098,단독주택,230.85
인천광역시 부평구 부평동 10-533번지,37.5060134,126.729788,단독주택,160.57
인천광역시 부평구 부평동 10-534번지,37.5063257,126.7302252,단독주택,163.64
인천광역시 부평구 부평동 10-535번지,37.5062157,126.7302212,단독주택,71.58
인천광역시 부평구 부평동 10-536번지,37.5062207,126.7301013,단독주택,233.91
인천광역시 부평구 부평동 10-537번지,37.5061097,126.7300939,단독주택,215.67
인천광역시 부평구 부평동 10-538번지,37.5061054,126.7302148,단독주택,71.58
인천광역시 부평구 부평동 10-539번지,37.5059955,126.7302053,단독주택,206.06
인천광역시 부평구 부평동 10-540번지,37.5059965,126.7300862,단독주택,70.71000000000001
인천광역시 부평구 부평동 10-541번지,37.5062985,126.730557,단독주택,332.62
인천광역시 부평구 부평동 10-542번지,37.5061844,126.7305499,단독주택,80.92
인천광역시 부평구 부평동 10-543번지,37.5061907,126.7304304,단독주택,235.17
인천광역시 부평구 부평동 10-544번지,37.5060734,126.7304232,단독주택,237.36
인천광역시 부평구 부평동 10-545번지,37.5060517,126.7305134,단독주택,81.47
인천광역시 부평구 부평동 10-546번지,37.5059451,126.7305414,단독주택,80.92
인천광역시 부평구 부평동 10-547번지,37.5059406,126.7304156,단독주택,363.42
인천광역시 부평구 부평동 10-548번지,37.505827,126.7304101,단독주택,339.16
인천광역시 부평구 부평동 10-549번지,37.5058218,126.7305303,단독주택,71.58
인천광역시 부평구 부평동 10-550번지,37.5057072,126.7305253,단독주택,242.52
인천광역시 부평구 부평동 10-551번지,37.5057117,126.7304056,단독주택,376.66
인천광역시 부평구 부평동 10-552번지,37.5055959,126.7304015,단독주택,71.58
인천광역시 부평구 부평동 10-553번지,37.505592,126.7305206,단독주택,63.18
인천광역시 부평구 부평동 10-554번지,37.50547,126.7305158,제1종근린생활시설,347.4
인천광역시 부평구 부평동 10-555번지,37.5054778,126.7304013,제1종근린생활시설,324.72
인천광역시 부평구 부평동 10-556번지,37.5062798,126.730845,제2종근린생활시설,102.16
인천광역시 부평구 부평동 10-557번지,37.5061817,126.7308393,단독주택,73.34
인천광역시 부평구 부평동 10-558번지,37.5061876,126.7307181,단독주택,71.58
인천광역시 부평구 부평동 10-560번지,37.5060802,126.7308329,단독주택,456.46
인천광역시 부평구 부평동 10-561번지,37.5058532,126.7307723,제2종근린생활시설,1455.87
인천광역시 부평구 부평동 10-567번지,37.5056665,126.7306899,단독주택,73.03999999999999
인천광역시 부평구 부평동 10-568번지,37.5056624,126.7308116,제1종근린생활시설,73.03999999999999
인천광역시 부평구 부평동 10-569번지,37.5055567,126.7308069,제1종근린생활시설,73.03999999999999
인천광역시 부평구 부평동 10-570번지,37.5055605,126.7306852,단독주택,73.03
인천광역시 부평구 부평동 10-571번지,37.5054519,126.73068,제1종근린생활시설,715.84
인천광역시 부평구 부평동 10-573번지,37.5058004,126.7301895,공동주택,295.51
인천광역시 부평구 부평동 10-574번지,37.5056982,126.7301896,단독주택,256.06
인천광역시 부평구 부평동 10-575번지,37.5057013,126.7300612,단독주택,71.58
인천광역시 부평구 부평동 10-576번지,37.5055941,126.7300556,단독주택,71.58
인천광역시 부평구 부평동 10-577번지,37.5055916,126.7301854,단독주택,71.58
