,대지위치,주용도코드명,연면적
263,인천광역시 부평구 갈산동 169-8번지,단독주택,112.87
264,인천광역시 부평구 갈산동 169-9번지,제2종근린생활시설,909.74
265,인천광역시 부평구 갈산동 169번지,단독주택,185.72
266,인천광역시 부평구 갈산동 17-18번지,공동주택,365.44
267,인천광역시 부평구 갈산동 17-1번지,단독주택,293.7
268,인천광역시 부평구 갈산동 17-2번지,공동주택,419.56
269,인천광역시 부평구 갈산동 17-2번지,단독주택,160.02
270,인천광역시 부평구 갈산동 17-3번지,단독주택,123.5
271,인천광역시 부평구 갈산동 17-7번지,공동주택,656.61
272,인천광역시 부평구 갈산동 170-10번지,단독주택,95.2
273,인천광역시 부평구 갈산동 170-10번지,제1종근린생활시설,49.74
274,인천광역시 부평구 갈산동 170-13번지,단독주택,36.08
275,인천광역시 부평구 갈산동 170-14번지,제2종근린생활시설,693.37
276,인천광역시 부평구 갈산동 170-16번지,제2종근린생활시설,972.0
277,인천광역시 부평구 갈산동 170-17번지,제2종근린생활시설,859.81
278,인천광역시 부평구 갈산동 170-18번지,제1종근린생활시설,132.89
279,인천광역시 부평구 갈산동 170-1번지,공동주택,591.39
280,인천광역시 부평구 갈산동 170-2번지,제1종근린생활시설,155.1
281,인천광역시 부평구 갈산동 170-3번지,단독주택,255.31
282,인천광역시 부평구 갈산동 170-7번지,업무시설,1295.13
283,인천광역시 부평구 갈산동 170-8번지,제2종근린생활시설,1303.5
284,인천광역시 부평구 갈산동 170-9번지,제1종근린생활시설,379.87
285,인천광역시 부평구 갈산동 170번지,단독주택,414.82
286,인천광역시 부평구 갈산동 171-11번지,제1종근린생활시설,9011.1
287,인천광역시 부평구 갈산동 171-16번지,공동주택,659.97
288,인천광역시 부평구 갈산동 171-17번지,제1종근린생활시설,814.2
289,인천광역시 부평구 갈산동 171-19번지,공동주택,659.97
290,인천광역시 부평구 갈산동 171-20번지,공동주택,420.03
291,인천광역시 부평구 갈산동 171-21번지,공동주택,420.03
292,인천광역시 부평구 갈산동 171-22번지,단독주택,431.48
293,인천광역시 부평구 갈산동 171-23번지,공동주택,447.52
294,인천광역시 부평구 갈산동 171-24번지,공동주택,549.15
295,인천광역시 부평구 갈산동 171-25번지,공동주택,635.94
296,인천광역시 부평구 갈산동 171-26번지,공동주택,658.48
297,인천광역시 부평구 갈산동 171-27번지,공동주택,657.68
298,인천광역시 부평구 갈산동 171-28번지,공동주택,443.52
299,인천광역시 부평구 갈산동 171-29번지,공동주택,548.72
300,인천광역시 부평구 갈산동 171-30번지,공동주택,897.6700000000001
301,인천광역시 부평구 갈산동 171-31번지,공동주택,893.21
302,인천광역시 부평구 갈산동 171-32번지,공동주택,893.21
303,인천광역시 부평구 갈산동 171-33번지,공동주택,890.69
304,인천광역시 부평구 갈산동 171-34번지,공동주택,893.21
305,인천광역시 부평구 갈산동 171-35번지,공동주택,893.21
306,인천광역시 부평구 갈산동 171-36번지,공동주택,865.47
307,인천광역시 부평구 갈산동 171-38번지,공동주택,640.1
308,인천광역시 부평구 갈산동 171-45번지,제2종근린생활시설,9863.67
309,인천광역시 부평구 갈산동 171-4번지,공동주택,449.04
310,인천광역시 부평구 갈산동 171-5번지,공동주택,17069.15
311,인천광역시 부평구 갈산동 171번지,공동주택,23689.35
312,인천광역시 부평구 갈산동 171번지,제2종근린생활시설,9624.11
313,인천광역시 부평구 갈산동 172-10번지,제2종근린생활시설,189.96
