대지위치,주용도코드명,연면적
인천광역시 부평구 갈산동 172-5번지,제1종근린생활시설,68.4
인천광역시 부평구 갈산동 172-7번지,제2종근린생활시설,1382.73
인천광역시 부평구 갈산동 172-9번지,단독주택,35.54
인천광역시 부평구 갈산동 172번지,제2종근린생활시설,825.48
인천광역시 부평구 갈산동 174-36번지,단독주택,24.77
인천광역시 부평구 갈산동 175-13번지,제1종근린생활시설,12.5
인천광역시 부평구 갈산동 175-13번지,제2종근린생활시설,1699.96
인천광역시 부평구 갈산동 175-1번지,업무시설,479.69
인천광역시 부평구 갈산동 175-23번지,단독주택,66.05
인천광역시 부평구 갈산동 175-5번지,제1종근린생활시설,308.76
인천광역시 부평구 갈산동 175-6번지,단독주택,70.38
인천광역시 부평구 갈산동 175-9번지,단독주택,1.5
인천광역시 부평구 갈산동 175-9번지,제2종근린생활시설,113.7
인천광역시 부평구 갈산동 175번지,제2종근린생활시설,984.86
인천광역시 부평구 갈산동 176-11번지,제2종근린생활시설,1181.2
인천광역시 부평구 갈산동 176-13번지,제2종근린생활시설,596.57
인천광역시 부평구 갈산동 176-14번지,공동주택,659.52
인천광역시 부평구 갈산동 176-15번지,제2종근린생활시설,639.3
인천광역시 부평구 갈산동 176-16번지,공동주택,378.2
인천광역시 부평구 갈산동 176-17번지,공동주택,658.92
인천광역시 부평구 갈산동 176-18번지,공동주택,658.92
인천광역시 부평구 갈산동 176-19번지,공동주택,600.21
인천광역시 부평구 갈산동 176-4번지,공동주택,656.61
인천광역시 부평구 갈산동 176-5번지,제2종근린생활시설,119.6
인천광역시 부평구 갈산동 176-6번지,공동주택,649.08
인천광역시 부평구 갈산동 176-7번지,공동주택,649.13
인천광역시 부평구 갈산동 176-8번지,공동주택,598.74
인천광역시 부평구 갈산동 176-9번지,제1종근린생활시설,1208.4
인천광역시 부평구 갈산동 176번지,공동주택,659.65
인천광역시 부평구 갈산동 177-10번지,제2종근린생활시설,1167.47
인천광역시 부평구 갈산동 177-11번지,공동주택,402.4
인천광역시 부평구 갈산동 177-14번지,공동주택,374.86
인천광역시 부평구 갈산동 177-1번지,제2종근린생활시설,4324.31
인천광역시 부평구 갈산동 177-5번지,단독주택,2115.77
인천광역시 부평구 갈산동 177-7번지,제1종근린생활시설,541.7
인천광역시 부평구 갈산동 177-8번지,제2종근린생활시설,864.36
인천광역시 부평구 갈산동 177번지,제2종근린생활시설,1225.74
인천광역시 부평구 갈산동 178-10번지,공동주택,639.76
인천광역시 부평구 갈산동 178-12번지,공동주택,505.36
인천광역시 부평구 갈산동 178-1번지,제2종근린생활시설,9148.26
인천광역시 부평구 갈산동 178-21번지,제2종근린생활시설,1245.43
인천광역시 부평구 갈산동 178-23번지,공동주택,447.42
인천광역시 부평구 갈산동 178-24번지,공동주택,447.42
인천광역시 부평구 갈산동 178-26번지,공동주택,447.42
인천광역시 부평구 갈산동 178-27번지,공동주택,652.8
인천광역시 부평구 갈산동 178-28번지,공동주택,449.22
인천광역시 부평구 갈산동 178-29번지,공동주택,431.22
인천광역시 부평구 갈산동 178-30번지,공동주택,431.22
인천광역시 부평구 갈산동 178-31번지,공동주택,431.22
인천광역시 부평구 갈산동 178-34번지,공동주택,658.47
인천광역시 부평구 갈산동 178-35번지,공동주택,499.7
인천광역시 부평구 갈산동 178-36번지,공동주택,532.74
인천광역시 부평구 갈산동 178-37번지,공동주택,522.06
인천광역시 부평구 갈산동 178-3번지,공동주택,393.6
인천광역시 부평구 갈산동 178-6번지,공동주택,340.52
인천광역시 부평구 갈산동 178-8번지,공동주택,497.25
인천광역시 부평구 갈산동 178-9번지,제2종근린생활시설,443.4
인천광역시 부평구 갈산동 178번지,제1종근린생활시설,583.48
인천광역시 부평구 갈산동 179-1번지,공동주택,21098.61
인천광역시 부평구 갈산동 179-6번지,공동주택,430.38
인천광역시 부평구 갈산동 179번지,공동주택,659.96
인천광역시 부평구 갈산동 17번지,단독주택,488.42
인천광역시 부평구 갈산동 18-2번지,단독주택,274.36
인천광역시 부평구 갈산동 180-10번지,공동주택,518.42
인천광역시 부평구 갈산동 180-13번지,공동주택,610.42
인천광역시 부평구 갈산동 180-14번지,공동주택,610.42
인천광역시 부평구 갈산동 180-16번지,공동주택,518.42
인천광역시 부평구 갈산동 180-17번지,공동주택,659.7
인천광역시 부평구 갈산동 180-18번지,공동주택,518.42
인천광역시 부평구 갈산동 180-19번지,공동주택,659.7
인천광역시 부평구 갈산동 180-1번지,공동주택,518.42
인천광역시 부평구 갈산동 180-24번지,공동주택,658.8
인천광역시 부평구 갈산동 180-25번지,제1종근린생활시설,334.26
인천광역시 부평구 갈산동 180-2번지,공동주택,518.42
인천광역시 부평구 갈산동 180-3번지,공동주택,518.42
인천광역시 부평구 갈산동 180-4번지,공동주택,610.42
인천광역시 부평구 갈산동 180-5번지,공동주택,610.42
인천광역시 부평구 갈산동 180-6번지,제1종근린생활시설,545.01
인천광역시 부평구 갈산동 180-8번지,공동주택,518.42
인천광역시 부평구 갈산동 180-9번지,공동주택,518.42
인천광역시 부평구 갈산동 180번지,제1종근린생활시설,23.98
인천광역시 부평구 갈산동 181-14번지,공동주택,450.28
인천광역시 부평구 갈산동 181-15번지,공동주택,439.66
인천광역시 부평구 갈산동 181-16번지,공동주택,439.66
인천광역시 부평구 갈산동 181-17번지,공동주택,439.66
인천광역시 부평구 갈산동 181-18번지,공동주택,439.66
인천광역시 부평구 갈산동 181-19번지,공동주택,444.13
인천광역시 부평구 갈산동 181-20번지,공동주택,651.19
인천광역시 부평구 갈산동 181-7번지,공동주택,646.64
인천광역시 부평구 갈산동 181-9번지,공동주택,448.98
인천광역시 부평구 갈산동 182-10번지,공동주택,433.1
인천광역시 부평구 갈산동 182-11번지,공동주택,445.8
인천광역시 부평구 갈산동 182-12번지,공동주택,366.0
