시도명,시군구명,법정읍면동명,법정리명,본번,부번,기초구역번호,2017,2018,2019
인천광역시,부평구,십정동,,363,3,21454,"1,254,000 원","1,285,000 원","1,326,000 원"
인천광역시,부평구,십정동,,448,1,21454,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,448,2,21454,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,448,3,21454,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,448,4,21454,"1,152,000 원","1,190,000 원","1,228,000 원"
인천광역시,부평구,십정동,,448,9,21454,"950,000 원","1,001,000 원","1,032,000 원"
인천광역시,부평구,십정동,,460,16,21454,"950,000 원","1,001,000 원","1,032,000 원"
인천광역시,부평구,십정동,,460,18,21454,"1,162,000 원","1,201,000 원","1,240,000 원"
인천광역시,부평구,십정동,,448,8,21454,"1,174,000 원","1,213,000 원","1,253,000 원"
인천광역시,부평구,십정동,,448,7,21454,"1,258,000 원","1,287,000 원","1,328,000 원"
인천광역시,부평구,십정동,,448,11,21454,"1,200,000 원","1,240,000 원","1,280,000 원"
인천광역시,부평구,십정동,,448,16,21454,"1,176,000 원","1,202,000 원","1,241,000 원"
인천광역시,부평구,십정동,,460,0,21454,"1,104,000 원","1,153,000 원","1,190,000 원"
인천광역시,부평구,십정동,,363,9,21454,"1,104,000 원","1,153,000 원","1,190,000 원"
인천광역시,부평구,십정동,,460,1,21454,"1,200,000 원","1,240,000 원","1,280,000 원"
인천광역시,부평구,십정동,,363,21,21454,"1,104,000 원","1,153,000 원","1,190,000 원"
인천광역시,부평구,십정동,,460,2,21454,"1,176,000 원","1,202,000 원","1,241,000 원"
인천광역시,부평구,십정동,,363,16,21454,"1,200,000 원","1,240,000 원","1,280,000 원"
인천광역시,부평구,십정동,,460,3,21454,"1,104,000 원","1,153,000 원","1,190,000 원"
인천광역시,부평구,십정동,,363,15,21454,"1,200,000 원","1,240,000 원","1,280,000 원"
인천광역시,부평구,십정동,,362,64,21454,"1,176,000 원","1,202,000 원","1,241,000 원"
인천광역시,부평구,십정동,,362,63,21454,"1,640,000 원","1,690,000 원","1,775,000 원"
인천광역시,부평구,십정동,,362,61,21454,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,362,57,21454,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,362,55,21454,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,362,90,21454,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,362,60,21454,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,362,92,21454,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,363,4,21454,"931,000 원","948,600 원","994,600 원"
인천광역시,부평구,십정동,,362,78,21454,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,362,77,21454,"931,000 원","948,600 원","994,600 원"
인천광역시,부평구,십정동,,362,65,21454,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,363,5,21454,"989,400 원","1,008,000 원","1,065,000 원"
인천광역시,부평구,십정동,,363,10,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,362,66,21454,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,363,19,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,363,18,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,363,6,21454,"1,596,000 원","1,641,000 원","1,691,000 원"
인천광역시,부평구,십정동,,362,72,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,317,141,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,317,138,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,317,103,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,317,137,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,317,104,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,136,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,105,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,130,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,106,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,131,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,134,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,316,46,21453,"989,400 원","1,008,000 원","1,065,000 원"
인천광역시,부평구,십정동,,316,60,21453,"1,008,000 원","1,038,000 원","1,097,000 원"
인천광역시,부평구,십정동,,316,53,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,45,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,44,21453,"1,030,000 원","1,060,000 원","1,121,000 원"
인천광역시,부평구,십정동,,316,54,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,43,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,42,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,316,41,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,317,102,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,86,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,101,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,87,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,88,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,100,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,98,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,89,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,90,21453,"989,400 원","1,008,000 원","1,065,000 원"
인천광역시,부평구,십정동,,316,35,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,316,31,21453,"1,008,000 원","1,038,000 원","1,097,000 원"
인천광역시,부평구,십정동,,316,36,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,37,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,316,30,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,316,38,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,316,39,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,317,68,21453,"1,030,000 원","1,060,000 원","1,121,000 원"
인천광역시,부평구,십정동,,317,85,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,317,84,21453,"979,200 원","997,500 원","1,054,000 원"
인천광역시,부평구,십정동,,317,69,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,317,83,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,70,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,317,82,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,71,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,81,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,317,72,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,316,24,21453,"989,400 원","1,008,000 원","1,065,000 원"
인천광역시,부평구,십정동,,317,67,21453,"989,000 원","1,008,000 원","1,057,000 원"
인천광역시,부평구,십정동,,316,21,21453,"1,000,000 원","1,030,000 원","1,080,000 원"
인천광역시,부평구,십정동,,316,25,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,316,20,21453,"959,000 원","977,400 원","1,024,000 원"
인천광역시,부평구,십정동,,316,26,21453,"980,000 원","1,009,000 원","1,058,000 원"
인천광역시,부평구,십정동,,316,19,21453,"989,400 원","1,008,000 원","1,065,000 원"
인천광역시,부평구,십정동,,447,23,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,447,1,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,447,22,21453,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,447,10,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,317,47,21453,"979,200 원","997,500 원","1,054,000 원"
인천광역시,부평구,십정동,,317,66,21453,"919,000 원","956,500 원","1,011,000 원"
인천광역시,부평구,십정동,,317,48,21453,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,317,65,21453,"1,010,000 원","1,040,000 원","1,090,000 원"
인천광역시,부평구,십정동,,317,64,21453,"1,480,000 원","1,520,000 원","1,625,000 원"
인천광역시,부평구,십정동,,317,63,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,317,51,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,316,14,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,317,46,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,317,22,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,317,45,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,317,42,21453,"1,152,000 원","1,190,000 원","1,228,000 원"
인천광역시,부평구,십정동,,317,41,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,316,12,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,316,15,21453,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,316,10,21453,"1,870,000 원","1,930,000 원","2,029,000 원"
인천광역시,부평구,십정동,,316,9,21453,"1,327,000 원","1,375,000 원","1,460,000 원"
인천광역시,부평구,십정동,,316,17,21453,"1,327,000 원","1,375,000 원","1,460,000 원"
인천광역시,부평구,십정동,,447,5,21453,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,447,9,21453,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,316,18,21453,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,317,21,21453,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,317,20,21453,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,3,21454,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,362,8,21454,"1,090,000 원","1,121,000 원","1,188,000 원"
인천광역시,부평구,십정동,,362,48,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,9,21454,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,362,12,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,58,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,39,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,68,21454,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,362,40,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,362,69,21454,"1,060,000 원","1,090,000 원","1,155,000 원"
인천광역시,부평구,십정동,,356,1,21450,"1,038,000 원","1,068,000 원","1,131,000 원"
인천광역시,부평구,십정동,,356,2,21450,"1,113,000 원","1,144,000 원","1,212,000 원"
인천광역시,부평구,십정동,,349,15,21450,"1,113,000 원","1,144,000 원","1,212,000 원"
인천광역시,부평구,십정동,,350,23,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,349,14,21450,"1,160,000 원","1,200,000 원","1,240,000 원"
인천광역시,부평구,십정동,,350,22,21450,"1,206,000 원","1,260,000 원","1,302,000 원"
인천광역시,부평구,십정동,,349,12,21450,"1,102,000 원","1,140,000 원","1,178,000 원"
인천광역시,부평구,십정동,,350,14,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,349,9,21450,"1,102,000 원","1,140,000 원","1,178,000 원"
인천광역시,부평구,십정동,,350,15,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,349,3,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,350,16,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,349,2,21450,"1,373,000 원","1,420,000 원","1,468,000 원"
인천광역시,부평구,십정동,,350,8,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,350,17,21450,"1,124,000 원","1,173,000 원","1,212,000 원"
인천광역시,부평구,십정동,,356,3,21450,"1,146,000 원","1,197,000 원","1,237,000 원"
인천광역시,부평구,십정동,,350,18,21450,"1,152,000 원","1,190,000 원","1,228,000 원"
인천광역시,부평구,십정동,,350,19,21450,"1,162,000 원","1,201,000 원","1,240,000 원"
인천광역시,부평구,십정동,,356,10,21450,"1,150,000 원","1,176,000 원","1,214,000 원"
인천광역시,부평구,십정동,,350,20,21450,"1,138,000 원","1,164,000 원","1,201,000 원"
인천광역시,부평구,십정동,,350,12,21450,"1,128,000 원","1,154,000 원","1,191,000 원"
인천광역시,부평구,십정동,,357,10,21455,"1,138,000 원","1,164,000 원","1,201,000 원"
인천광역시,부평구,십정동,,358,13,21455,"1,138,000 원","1,164,000 원","1,201,000 원"
인천광역시,부평구,십정동,,357,11,21455,"1,152,000 원","1,190,000 원","1,228,000 원"
인천광역시,부평구,십정동,,358,12,21455,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,357,15,21455,"1,140,000 원","1,178,000 원","1,216,000 원"
인천광역시,부평구,십정동,,358,10,21455,"1,162,000 원","1,201,000 원","1,240,000 원"
