연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자,address,latitude,longitude
84,동양,인천광역시 부평구 청천2동 397,인천광역시 부평구 안남로417번길 35,5,6,200,1982-12-16,2019-09-06,인천광역시 부평구 청천2동 397,37.5199922,126.7081616
85,영진,인천광역시 부평구 청천2동 5-5,인천광역시 부평구 청중로 81,16,1,196,1995-07-07,2019-09-06,인천광역시 부평구 청천2동 5-5,37.5176767,126.7067407
86,광명,인천광역시 부평구 청천2동 399-6,인천광역시 부평구 평천로153번길 13,19,4,418,1995-10-24,2019-09-06,인천광역시 부평구 청천2동 399-6,37.5192444,126.7091706
87,금호타운,인천광역시 부평구 청천2동 200,인천광역시 부평구 안남로 272,25,24,2539,1998-02-26,2019-09-06,인천광역시 부평구 청천2동 200,37.5068761,126.7130642
88,청천푸르지오,인천광역시 부평구 청천2동 176,인천광역시 부평구 세월천로 16,25,23,2257,1998-06-20,2019-09-06,인천광역시 부평구 청천2동 176,37.5142829,126.7080492
89,미가로,인천광역시 부평구 청천2동 199-24,인천광역시 부평구 길주로 491,15,2,170,2006-11-15,2019-09-06,인천광역시 부평구 청천2동 199-24,37.5083224,126.7172652
90,정광,인천광역시 부평구 갈산1동 171-5,인천광역시 부평구 평천로306번길 27,6,5,311,1990-04-07,2019-09-06,인천광역시 부평구 갈산1동 171-5,37.5157106,126.7250773
91,태화,인천광역시 부평구 갈산1동 416,인천광역시 부평구 부평북로 313,19,5,410,1994-09-08,2019-09-06,인천광역시 부평구 갈산1동 416,37.5232364,126.7285646
92,백조,인천광역시 부평구 갈산1동 181-11,인천광역시 부평구 부평대로 268,5,3,85,1986-11-25,2019-09-06,인천광역시 부평구 갈산1동 181-11,37.5154312,126.7219453
93,갈산,인천광역시 부평구 갈산1동 183-1,인천광역시 부평구 굴포로5번길 28,5,4,90,1986-12-24,2019-09-06,인천광역시 부평구 갈산1동 183-1,37.5132881,126.7224135
94,한국,인천광역시 부평구 갈산1동 179-1,인천광역시 부평구 부평대로278번길 42,21,5,520,1998-11-18,2019-09-06,인천광역시 부평구 갈산1동 179-1,37.5147458,126.7240278
95,이안(대우),인천광역시 부평구 갈산1동 159,인천광역시 부평구 평천로305번길 15,21,5,414,2001-11-23,2019-09-06,인천광역시 부평구 갈산1동 159,37.5175801,126.7231494
96,대성유니드,인천광역시 부평구 갈산1동 454,인천광역시 부평구 새갈로 57,24,5,247,2007-04-10,2019-09-06,인천광역시 부평구 갈산1동 454,37.5221563,126.7306574
97,태화,인천광역시 부평구 갈산2동 363,인천광역시 부평구 갈월서로 46,13,6,390,1992-06-20,2019-09-06,인천광역시 부평구 갈산2동 363,37.5111150,126.7245718
98,아주,인천광역시 부평구 갈산2동 374,인천광역시 부평구 갈월서로 26,17,4,340,1992-09-24,2019-09-06,인천광역시 부평구 갈산2동 374,37.5098875,126.7237550
99,하나,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 45,18,5,526,1992-11-05,2019-09-06,인천광역시 부평구 갈산2동 362,37.5106744,126.7225127
99,하나,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 45,18,5,526,1992-11-05,2019-09-06,인천광역시 부평구 갈산2동 362,37.5106744,126.7225127
100,동남,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 27,13,2,278,1992-09-16,2019-09-06,인천광역시 부평구 갈산2동 362,37.5106744,126.7225127
100,동남,인천광역시 부평구 갈산2동 362,인천광역시 부평구 갈월서로 27,13,2,278,1992-09-16,2019-09-06,인천광역시 부평구 갈산2동 362,37.5106744,126.7225127
101,두산,인천광역시 부평구 갈산2동 368,인천광역시 부평구 갈월동로 45,15,7,574,1992-11-29,2019-09-06,인천광역시 부평구 갈산2동 368,37.5109852,126.7277602
102,한국,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 40,18,2,280,1993-05-22,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
102,한국,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 40,18,2,280,1993-05-22,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
102,한국,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 40,18,2,280,1993-05-22,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
